Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Indiana Pacers,Los Angeles Lakers,116,124,-250,+206
N/A,Cleveland Cavaliers,Phoenix Suns,115,120,+249,-303
N/A,Boston Celtics,Brooklyn Nets,104,123,-120,+102
N/A,Oklahoma City Thunder,Utah Jazz,104,110,+773,-1250
N/A,New Orleans Pelicans,Washington Wizards,127,102,+142,-167
N/A,Minnesota Timberwolves,Miami Heat,113,101,-108,-110
N/A,Memphis Grizzlies,Toronto Raptors,113,126,-159,+137
N/A,Milwaukee Bucks,Detroit Pistons,114,93,-1667,+926
N/A,Houston Rockets,Chicago Bulls,118,113,+348,-435
N/A,San Antonio Spurs,Atlanta Hawks,106,124,+142,-167
N/A,Sacramento Kings,Portland Trail Blazers,125,121,+144,-169
N/A,Golden State Warriors,Philadelphia 76ers,116,96,-500,+388
N/A,Los Angeles Clippers,Detroit Pistons,107,96,-667,+501
N/A,Orlando Magic,Chicago Bulls,88,123,+344,-435
N/A,New York Knicks,Phoenix Suns,97,118,+142,-167
N/A,Charlotte Hornets,Minnesota Timberwolves,133,115,-132,+112
N/A,Oklahoma City Thunder,Washington Wizards,99,101,+214,-256
N/A,Memphis Grizzlies,Atlanta Hawks,100,132,-103,-114
N/A,Indiana Pacers,Toronto Raptors,114,97,-204,+172
N/A,San Antonio Spurs,Boston Celtics,96,88,+156,-182
N/A,Utah Jazz,New Orleans Pelicans,97,98,-1000,+675
N/A,Denver Nuggets,Milwaukee Bucks,109,120,+221,-263
N/A,Golden State Warriors,Portland Trail Blazers,118,103,-250,+208
N/A,Los Angeles Lakers,Sacramento Kings,137,141,-323,+263
N/A,Philadelphia 76ers,Minnesota Timberwolves,120,121,-256,+214
N/A,Brooklyn Nets,Phoenix Suns,107,113,-125,+106
N/A,Atlanta Hawks,New York Knicks,90,99,-323,+267
N/A,Houston Rockets,Charlotte Hornets,146,143,+177,-208
N/A,Cleveland Cavaliers,Orlando Magic,105,92,-500,+384
N/A,Chicago Bulls,Miami Heat,104,107,-106,-111
N/A,Dallas Mavericks,Washington Wizards,114,120,-256,+214
N/A,Utah Jazz,New Orleans Pelicans,127,105,-1000,+656
N/A,Los Angeles Clippers,Golden State Warriors,90,105,+123,-143
N/A,Indiana Pacers,Milwaukee Bucks,100,118,+112,-132
N/A,Toronto Raptors,Boston Celtics,97,109,+106,-123
N/A,Memphis Grizzlies,Sacramento Kings,128,101,-169,+147
N/A,Los Angeles Lakers,Detroit Pistons,110,106,-526,+413
N/A,Philadelphia 76ers,Orlando Magic,101,96,-1111,+716
N/A,Miami Heat,Denver Nuggets,111,120,-152,+129
N/A,Minnesota Timberwolves,Indiana Pacers,100,98,-167,+143
N/A,Houston Rockets,Oklahoma City Thunder,102,89,-139,+119
N/A,Chicago Bulls,Charlotte Hornets,133,119,-208,+177
N/A,San Antonio Spurs,Washington Wizards,116,99,+134,-156
N/A,Dallas Mavericks,Cleveland Cavaliers,96,114,-270,+223
N/A,Utah Jazz,Portland Trail Blazers,129,107,-278,+229
N/A,Los Angeles Clippers,New Orleans Pelicans,104,123,-294,+240
N/A,Toronto Raptors,Memphis Grizzlies,91,98,-145,+124
N/A,Brooklyn Nets,New York Knicks,112,110,-250,+210
N/A,Sacramento Kings,Los Angeles Lakers,92,117,-115,-101
N/A,Portland Trail Blazers,Detroit Pistons,110,92,-357,+289
N/A,Phoenix Suns,Golden State Warriors,104,96,-154,+131
N/A,Washington Wizards,Minnesota Timberwolves,115,107,-167,+141
N/A,Orlando Magic,Denver Nuggets,108,103,+286,-357
N/A,Indiana Pacers,Atlanta Hawks,111,114,-132,+112
N/A,Miami Heat,Cleveland Cavaliers,85,111,-149,+127
N/A,Boston Celtics,Philadelphia 76ers,88,87,-149,+127
N/A,Milwaukee Bucks,Charlotte Hornets,127,125,-385,+309
N/A,Oklahoma City Thunder,Houston Rockets,110,114,-133,+114
N/A,New Orleans Pelicans,Dallas Mavericks,107,139,+149,-175
N/A,Los Angeles Clippers,Sacramento Kings,115,124,-244,+206
N/A,Toronto Raptors,Milwaukee Bucks,97,93,+146,-156
N/A,New York Knicks,Chicago Bulls,115,119,+112,-130
N/A,Memphis Grizzlies,Oklahoma City Thunder,152,79,-556,+411
N/A,Phoenix Suns,Detroit Pistons,114,103,-714,+522
N/A,Portland Trail Blazers,San Antonio Spurs,83,114,-200,+171
N/A,Washington Wizards,Cleveland Cavaliers,101,116,-147,+125
N/A,Indiana Pacers,Miami Heat,104,113,-217,+181
N/A,Brooklyn Nets,Minnesota Timberwolves,110,105,-417,+332
N/A,Atlanta Hawks,Philadelphia 76ers,96,98,-141,+121
N/A,Houston Rockets,Orlando Magic,118,116,-152,+129
N/A,Dallas Mavericks,New Orleans Pelicans,91,107,-294,+241
N/A,Utah Jazz,Boston Celtics,137,130,-357,+287
N/A,Los Angeles Lakers,Los Angeles Clippers,115,119,-137,+117
N/A,Golden State Warriors,Phoenix Suns,118,96,-294,+244
N/A,New York Knicks,Denver Nuggets,99,113,-135,+116
N/A,Milwaukee Bucks,Miami Heat,124,102,-250,+206
N/A,Brooklyn Nets,Chicago Bulls,107,111,-141,+121
N/A,Golden State Warriors,San Antonio Spurs,107,112,-435,+348
N/A,Dallas Mavericks,Memphis Grizzlies,90,97,-105,-112
N/A,Sacramento Kings,Los Angeles Clippers,104,99,+108,-127
N/A,Portland Trail Blazers,Boston Celtics,117,145,-114,-104
N/A,Cleveland Cavaliers,Utah Jazz,108,109,+174,-204
N/A,Toronto Raptors,Washington Wizards,102,90,-116,-102
N/A,Atlanta Hawks,Charlotte Hornets,127,130,-303,+252
N/A,Houston Rockets,New Orleans Pelicans,118,108,+125,-147
N/A,Indiana Pacers,Washington Wizards,116,110,-227,+190
N/A,Detroit Pistons,Oklahoma City Thunder,103,114,-152,+129
N/A,Charlotte Hornets,Philadelphia 76ers,124,127,+260,-323
N/A,Miami Heat,Memphis Grizzlies,90,105,-222,+189
N/A,Minnesota Timberwolves,Atlanta Hawks,110,121,-123,+106
N/A,Milwaukee Bucks,Cleveland Cavaliers,112,104,-370,+297
N/A,Chicago Bulls,Denver Nuggets,109,97,-130,+110
N/A,Phoenix Suns,San Antonio Spurs,108,104,-294,+246
N/A,Portland Trail Blazers,Los Angeles Clippers,90,102,+161,-189
N/A,Golden State Warriors,Orlando Magic,126,95,-1667,+1023
N/A,Dallas Mavericks,Brooklyn Nets,99,102,+106,-123
N/A,San Antonio Spurs,New York Knicks,109,121,+106,-125
N/A,Los Angeles Lakers,Boston Celtics,117,102,-143,+124
N/A,Indiana Pacers,New York Knicks,122,102,-196,+168
N/A,Detroit Pistons,Washington Wizards,116,119,+175,-204
N/A,Cleveland Cavaliers,Chicago Bulls,115,92,-156,+135
N/A,Charlotte Hornets,Philadelphia 76ers,106,110,+211,-250
N/A,Toronto Raptors,Oklahoma City Thunder,109,110,-333,+271
N/A,Miami Heat,Milwaukee Bucks,113,104,+222,-270
N/A,New Orleans Pelicans,Denver Nuggets,114,120,+114,-132
N/A,Minnesota Timberwolves,Utah Jazz,104,136,+223,-263
N/A,Memphis Grizzlies,Dallas Mavericks,96,104,-120,+104
N/A,Houston Rockets,Brooklyn Nets,114,104,+144,-167
N/A,Sacramento Kings,Orlando Magic,142,130,-303,+249
N/A,Golden State Warriors,Portland Trail Blazers,104,94,-1667,+963
N/A,Los Angeles Clippers,Boston Celtics,114,111,-123,+106
N/A,Philadelphia 76ers,Utah Jazz,96,118,+124,-143
N/A,Memphis Grizzlies,Los Angeles Lakers,108,95,+150,-175
N/A,San Antonio Spurs,Denver Nuggets,123,111,-132,+114
N/A,Indiana Pacers,Dallas Mavericks,106,93,-128,+110
N/A,Charlotte Hornets,Sacramento Kings,124,123,+104,-122
N/A,Toronto Raptors,New York Knicks,90,87,-122,+104
N/A,Atlanta Hawks,Brooklyn Nets,105,113,-128,+108
