Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,New Orleans Pelicans,Portland Trail Blazers,126,107,-833,+570
N/A,Philadelphia 76ers,Charlotte Hornets,109,98,-476,+358
N/A,Houston Rockets,Cleveland Cavaliers,117,103,+161,-196
N/A,Utah Jazz,Atlanta Hawks,124,122,+100,-119
N/A,San Antonio Spurs,Denver Nuggets,106,117,+370,-500
N/A,New Orleans Pelicans,Los Angeles Clippers,112,104,-256,+209
N/A,Toronto Raptors,Orlando Magic,103,113,+252,-323
N/A,Charlotte Hornets,Phoenix Suns,96,107,+394,-526
N/A,Detroit Pistons,Miami Heat,95,108,+259,-323
N/A,Oklahoma City Thunder,Dallas Mavericks,126,119,-455,+347
N/A,Portland Trail Blazers,New York Knicks,93,105,+517,-769
N/A,Chicago Bulls,Los Angeles Clippers,111,126,+196,-244
N/A,Houston Rockets,Washington Wizards,135,119,-370,+283
N/A,Milwaukee Bucks,Philadelphia 76ers,114,105,-294,+236
N/A,Boston Celtics,Phoenix Suns,127,112,-227,+185
N/A,Portland Trail Blazers,Atlanta Hawks,106,102,+150,-185
N/A,Sacramento Kings,Los Angeles Lakers,120,107,+114,-135
N/A,Dallas Mavericks,Golden State Warriors,109,99,-357,+279
N/A,Memphis Grizzlies,Charlotte Hornets,98,110,+114,-135
N/A,New Orleans Pelicans,Cleveland Cavaliers,95,116,-222,+181
N/A,Indiana Pacers,Chicago Bulls,129,132,-204,+170
N/A,Miami Heat,Denver Nuggets,88,100,+133,-159
N/A,Detroit Pistons,Toronto Raptors,113,104,-156,+131
N/A,Orlando Magic,Brooklyn Nets,114,106,-238,+194
N/A,Los Angeles Clippers,Minnesota Timberwolves,100,118,-227,+186
N/A,Sacramento Kings,Milwaukee Bucks,129,94,-119,+100
N/A,Utah Jazz,Boston Celtics,107,123,+209,-256
N/A,San Antonio Spurs,Houston Rockets,101,103,+125,-149
N/A,Memphis Grizzlies,Washington Wizards,109,97,+110,-130
N/A,Oklahoma City Thunder,Indiana Pacers,111,121,-217,+177
N/A,New York Knicks,Philadelphia 76ers,106,79,-227,+185
N/A,Portland Trail Blazers,Boston Celtics,99,121,+447,-625
N/A,Denver Nuggets,Toronto Raptors,125,119,-1667,+939
N/A,Chicago Bulls,Dallas Mavericks,92,127,+137,-164
N/A,San Antonio Spurs,Golden State Warriors,102,112,+166,-200
N/A,Cleveland Cavaliers,Phoenix Suns,111,117,+215,-270
N/A,Detroit Pistons,Charlotte Hornets,114,97,-196,+162
N/A,Los Angeles Lakers,Minnesota Timberwolves,120,109,-208,+172
N/A,Cleveland Cavaliers,Brooklyn Nets,101,120,-263,+215
N/A,New York Knicks,Philadelphia 76ers,73,79,-278,+223
N/A,Oklahoma City Thunder,Memphis Grizzlies,124,93,-1250,+738
N/A,Atlanta Hawks,New Orleans Pelicans,103,116,+202,-250
N/A,Miami Heat,Washington Wizards,108,110,-625,+459
N/A,Orlando Magic,Indiana Pacers,97,111,-105,-110
N/A,Sacramento Kings,Houston Rockets,104,112,-270,+216
N/A,Los Angeles Clippers,Milwaukee Bucks,117,124,+208,-250
N/A,Portland Trail Blazers,Toronto Raptors,128,118,+119,-141
N/A,Denver Nuggets,Utah Jazz,142,121,-714,+512
N/A,Golden State Warriors,San Antonio Spurs,113,126,-714,+515
N/A,Phoenix Suns,Boston Celtics,107,117,+175,-217
N/A,Charlotte Hornets,Brooklyn Nets,110,99,+194,-238
N/A,Detroit Pistons,Dallas Mavericks,124,142,+293,-385
N/A,Los Angeles Clippers,Chicago Bulls,112,102,-323,+258
N/A,Los Angeles Lakers,Milwaukee Bucks,123,122,+154,-189
N/A,Portland Trail Blazers,Houston Rockets,107,123,+213,-263
N/A,Memphis Grizzlies,Atlanta Hawks,92,99,+131,-154
N/A,Oklahoma City Thunder,Miami Heat,107,100,-385,+291
N/A,Cleveland Cavaliers,Minnesota Timberwolves,113,104,-119,+100
N/A,New York Knicks,Orlando Magic,98,74,-135,+114
N/A,Philadelphia 76ers,New Orleans Pelicans,95,103,+254,-323
N/A,Washington Wizards,Charlotte Hornets,112,100,-141,+119
N/A,Denver Nuggets,Boston Celtics,115,109,+108,-127
N/A,Golden State Warriors,Chicago Bulls,122,125,-370,+290
N/A,Sacramento Kings,San Antonio Spurs,131,129,-714,+492
N/A,Phoenix Suns,Toronto Raptors,120,113,-556,+401
N/A,Dallas Mavericks,Miami Heat,114,108,-192,+160
N/A,Detroit Pistons,Brooklyn Nets,118,112,+114,-135
N/A,Indiana Pacers,Minnesota Timberwolves,111,113,-116,-101
N/A,Los Angeles Lakers,Sacramento Kings,120,130,-147,+125
N/A,Golden State Warriors,Milwaukee Bucks,125,90,-143,+121
N/A,Portland Trail Blazers,Oklahoma City Thunder,120,128,+578,-833
